player_name,shot_count
Lionel Andrés Messi Cuccittini,109
Luis Alberto Suárez Díaz,72
Antoine Griezmann,44
Philippe Coutinho Correia,26
Arturo Erasmo Vidal Pardo,24
Ousmane Dembélé,23
Jordi Alba Ramos,21
Ivan Rakitić,17
Sergi Roberto Carnicer,15
Martin Braithwaite Christensen,13
Pedro González López,12
Frenkie de Jong,8
Anssumane Fati,8
Sergio Busquets i Burgos,8
Karim Benzema,7
Toni Kroos,6
Willian José da Silva,6
Miralem Pjanić,6
Ángel Luis Rodríguez Díaz,6
Iñaki Williams Arthuer,6
Sergino Dest,5
Ricard Puig Martí,5
Francisco António Machado Mota de Castro Trincão,5
Fabián Ariel Orellana Valenzuela,5
Moriba Kourouma Kourouma,4
Wissam Ben Yedder,4
Clément Lenglet,4
Mikel Merino Zazón,4
Mario Gaspar Pérez Martínez,4
Alexander Isak,4
Yuri Berchiche Izeta,4
Mauro Wilney Arambarri Rosa,3
Borja Iglesias Quintas,3
Marcos Llorente Moreno,3
Lorenzo Jesús Morón García,3
Samuel Chimerenka Chukwueze,3
Álvaro Borja Morata Martín,3
Munir El Haddadi Mohamed,3
Juan Miguel Jiménez López,3
Daniel Parejo Muñoz,3
Malcom Filipe Silva de Oliveira,3
Gerard Piqué Bernabéu,3
Federico Santiago Valverde Dipetta,3
Raúl García Escudero,3
Denis Cheryshev,3
Ronald Federico Araújo da Silva,3
Óscar Mingueza García,3
Rubén Rochina Naixes,3
Sergi Darder Moll,3
Uroš Račić,3
Enis Bardhi,3
Sergio Enrich Ametller,3
Carles Aleña Castillo,3
Ignacio Monreal Eraso,2
Gonzalo Escalante,2
Manuel Agudo Durán,2
Héctor Junior Firpo Adames,2
José Luis Morales Nogales,2
Sergio Reguilón Rodríguez,2
Franco Damián Vázquez,2
Dídac Vilá Rosselló,2
Marc Roca Junqué,2
Daniel José Rodríguez Vázquez,2
Roque Mesa Quevedo,2
Francisco José Beltrán Peinado,2
Cristhian Ricardo Stuani Curbelo,2
Ante Budimir,2
José Luis Gayà Peña,2
Miguel Ángel Guerrero Martín,2
Óscar Rodríguez Arnaiz,2
