player_name,shot_count
Francisco Román Alarcón Suárez,2
Jaime Mata Arnaiz,2
Mikel Balenziaga Oruesagasti,2
José Ángel Gómez Campaña,2
Pablo Sarabia García,2
Charles Días Barbosa de Oliveira,2
Jon Moncayola Tollar,2
José Ignacio Martínez García,2
Sergio Ramos García,2
Lei Wu,2
Arthur Henrique Ramos de Oliveira Melo,2
Giovani Lo Celso,2
Arnaldo Antonio Sanabria Ayala,2
Michy Batshuayi Tunga,2
Joaquín Sánchez Rodríguez,2
Manuel Trigueros Muñoz,2
Luuk de Jong,2
Gerard Moreno Balaguero,2
Kevin Gameiro,2
Gabriel Iván Mercado,2
Lucas Pérez Martínez,2
Pedro Bigas Rigo,1
Ezequiel Marcelo Garay,1
Erick Cathriel Cabaco Almada,1
Marc Cucurella Saseta,1
Kieran Trippier,1
Felipe Augusto de Almeida Monteiro,1
Francisco José Olivas Alba,1
Yannick Ferreira Carrasco,1
José Manuel Arnáiz Díaz,1
Joaquín Fernández Moreno,1
Ángel Martín Correa,1
Tiago Manuel Dias Correia,1
Lucas Ariel Boyé,1
Pedro León Sánchez Gil,1
Gareth Frank Bale,1
Mario Hermoso Canseco,1
Alejandro Gallar Falguera,1
Jorge Resurrección Merodio,1
Roberto Torres Morales,1
Enrique Pérez Muñoz,1
Papa Kouly Diop,1
Brais Méndez Portela,1
Daniel Wass,1
Rafael Mir Vicente,1
Francisco Javier Hidalgo Gómez,1
Hernâni Jorge Santos Fortes,1
Lucas Vázquez Iglesias,1
Darko Brašanac,1
Juan Camilo Hernández Suárez,1
Thierry Rendall Correia,1
Vitorino Gabriel Pacheco Antunes,1
Vinícius José Paixão de Oliveira Júnior,1
Sergio Álvarez Díaz,1
Vicente Iborra De La Fuente,1
Augusto Jorge Mateo Solari,1
Mickaël Malsa,1
Marcos André de Sousa Mendonça,1
Éder Gabriel Militão,1
Pablo Ezequiel De Blasis,1
Thomas Vermaelen,1
Edgar Antonio Méndez Ortega,1
Sandro Ramírez Castillo,1
Jorge De Frutos Sebastián,1
Óscar de Marcos Arana,1
Lucas René Olaza Catrofe,1
Jonathan Calleri,1
Mikel Oyarzabal Ugarte,1
Iago Aspas Juncal,1
Jorge Molina Vidal,1
José Manuel Fontán Mondragón,1
Javier Sánchez de Felipe,1
Unai Vencedor Paris,1
Pere Pons Riera,1
Leonardo Carrilho Baptistão,1
Aleix Vidal Parreu,1
João Félix Sequeira,1
José Luis García del Pozo,1
Yan Brice Eteki,1
José Ángel Valdés Díaz,1
Unai López Cabrera,1
Óscar Plano Pedreño,1
Daniele Verde,1
Daniel Gómez Alcón,1
José Ángel Pozo la Rosa,1
Sergio Canales Madrazo,1
Aritz Elustondo Irribaria,1
Gonzalo Julián Melero Manzanares,1
Nemanja Maksimović,1
Mubarak Wakaso,1
Enes Ünal,1
Rodrigo Andrés Battaglia,1
Luis Fernando Muriel Fruto,1
Luca Sangalli Fuentes,1
Rodrigo Moreno Machado,1
Quincy Anton Promes,1
Alejandro Pozo Pozo,1
Adrián Marín Gómez,1
Enrique García Martínez,1
Joan Jordán Moreno,1
Takashi Inui,1
Miguel Baeza Pérez,1
Javier Hernández Balcázar,1
Marcelo Vieira da Silva Júnior,1
Marc-André ter Stegen,1
Marco Asensio Willemsen,1
Raúl Albiol i Tortajada,1
Santiago Cazorla González,1
Saúl Ñíguez Esclapez,1
Manuel Alejandro García Sánchez,1
Fyodor Smolov,1
Sergio León Limones,1
Cristian Tello Herrera,1
Jesé Rodríguez Ruiz,1
Éver Maximiliano David Banega,1
Adrián López Álvarez,1
Kevin-Prince Boateng,1
Rubén Sobrino Pozuelo,1
Mikel San José Domínguez,1
Darwin Daniel Machís Marcano,1
Álvaro Giménez Candela,1
Nélson Cabral Semedo,1
Borja Mayoral Moya,1
Francis Joseph Coquelin,1
Roberto Soldado Rillo,1
Gaku Shibasaki,1
Jesús Navas González,1
Iker Muniain Goñi,1
Rubén Duarte Sánchez,1
Rubén Salvador Pérez Del Mármol,1
Seung-Ho Paik,1
Nemanja Radoja,1
Etienne Capoue,1
Roger Martí Salvador,1
Jairo Izquierdo González,1
Mathías Olivera Miramontes,1
Takefusa Kubo,1
Hugo Mallo Novegil,1
David Remeseiro Salgueiro,1
Iván Alejo Peralta,1
Iñigo Pérez Soto,1
Sanjin Prcić,1
Martin Ødegaard,1
Carlos Neva Tey,1
Carles Pérez Sayol,1
Maximiliano Gómez González,1
Santiago Mina Lorenzo,1
Youssef En-Nesyri,1
