player_name,dribble_past_count
Raúl García Escudero,4
Raúl Albiol i Tortajada,4
José Raúl Gutiérrez Parejo,4
José Luis Morales Nogales,4
Sergio Gómez Martín,4
José Ignacio Martínez García,4
Vinícius José Paixão de Oliveira Júnior,5
Francisco António Machado Mota de Castro Trincão,5
Yangel Clemente Herrera Ravelo,5
Rubén Duarte Sánchez,5
Carlos Henrique Casimiro,5
Jorge Pulido Mayoral,5
Íñigo Martínez Berridi,5
David Ferreiro Quiroga,5
Joan Jordán Moreno,5
Gerard Piqué Bernabéu,5
Luis Alfonso Espino García,6
Miralem Pjanić,6
Alberto Perea Correoso,6
Denis Suárez Fernández,7
Manuel Trigueros Muñoz,7
Brais Méndez Portela,7
Sergi Roberto Carnicer,7
Uroš Račić,7
Moriba Kourouma Kourouma,7
Ousmane Dembélé,8
Mikel Merino Zazón,8
Rubén Alcaraz Jiménez,9
Manuel Agudo Durán,9
Toni Kroos,9
Sergino Dest,11
Clément Lenglet,12
Lionel Andrés Messi Cuccittini,13
Óscar Mingueza García,21
Frenkie de Jong,24
Antoine Griezmann,30
Sergio Busquets i Burgos,35
Jordi Alba Ramos,38
Pedro González López,46
