player_name,pass_count
Mark Kinsella,20
Danny Mills,20
Johnnie Jackson,20
Paul Robinson,20
Anthony Le Tallec,19
Brad Friedel,19
Jerrel Hasselbaink,19
Jussi Jääskeläinen,18
Eric Daniel Djemba-Djemba,18
Stephen Crainey,18
Per Frandsen,18
Paul Butler,18
Steffen Freund,18
Lee Carsley,17
Robert Huth,17
Tony Hibbert,17
Dejan Stefanovic,16
Zoumana Camara,16
Barry Hayles,16
Collins John,16
Fitz Hall,16
Callum Davidson,16
Mark Fish,16
Chris Riggott,16
Francis Jeffers,15
Antti Mikko Niemi,15
Alexei Gennadyevich Smertin,15
Darius Vassell,15
Paul Jones,15
Maik Taylor,14
Ole Gunnar Solskjær,14
Michael Duberry,14
Craig Hignett,14
Joseph Phillip Yobo,14
Danny Tiatto,14
Eyal Berkovic,14
Jody Craddock,14
Tim Howard,13
Boris Živković,13
Jermain Defoe,13
Steffen Iversen,13
Vladimir Smicer,13
David Sommeil,13
Ben Thatcher,12
Jonathan Woodgate,12
Roy Carroll,12
Aaron Lennon,12
Riccardo Scimeca,12
Thomas Løvendahl Sørensen,12
Ian Pearce,11
John Curtis,11
Mark Pembridge,11
Arjan de Zeeuw,11
Richard Dunne,11
Jason Roberts,11
Mark Schwarzer,10
Robbie Fowler,10
Nigel Martyn,10
Keith Gillespie,10
Jamal Julian Campbell-Ryce,10
Milan Baroš,10
Jonathan Fortune,10
Matt Heath,10
Ian Bennett,9
Anders Svensson,9
David Seaman,9
Carlo Cudicini,9
Stephen Carr,9
Patrik Berger,9
"Bruno N""Gotty",9
Steven Caldwell,9
Andy Melville,8
Kasey Keller,8
Ivica Mornar,8
Bobby Zamora,8
Mbulelo Mabizela,8
Andrew Davies,8
Shaun Newton,8
David James,7
Shaka Hislop,7
Simon Johnson,7
Dean Kiely,7
Steve Howey,7
Neill McCann,7
Neil Sullivan,7
Zat Knight,7
Nick Barmby,6
Nikos Dabizas,6
Bryan Hughes,6
Richard Wright,6
John Welsh,6
Steve McManaman,6
Michael Oakes,6
Diego Forlán Corazo,6
Hugo Miguel Ferreira Gomes Viana,5
Dino Baggio,5
Peter Crouch,4
Ibrahim Ba,4
