player_name,completed_dribbles_count
Abel Ruiz Ortega,2
Pedro Antonio Porro Sauceda,2
Asier Villalibre Molina,2
Óscar de Marcos Arana,1
Adrián Marín Gómez,1
Alberto Moreno Pérez,1
Alejandro Blanco Sánchez,1
Alejandro Gallar Falguera,1
Ante Budimir,1
Aritz Elustondo Irribaria,1
Aïssa Mandi,1
Brais Méndez Portela,1
Bruno Soriano Llido,1
Carlos Arturo Bacca Ahumada,1
Carlos Clerc Martínez,1
Carlos Soler Barragán,1
Cristhian Ricardo Stuani Curbelo,1
Cristiano Piccini,1
Daniele Verde,1
Darko Brašanac,1
David López Silva,1
Dimitrios Siovas,1
Djené Dakonam Ortega,1
Duje Čop,1
Enes Ünal,1
Enrique García Martínez,1
Esteban Rodrigo Burgos,1
Etienne Capoue,1
Fernando Calero Villa,1
Ferrán Torres García,1
Francesc Aday Benítez Caraballo,1
Francis Joseph Coquelin,1
Francisco Alcácer García,1
Francisco Javier Hidalgo Gómez,1
Francisco José Beltrán Peinado,1
Fyodor Smolov,1
Gabriel Veiga Novas,1
Germán Sánchez Barahona,1
Gonzalo Escalante,1
Idrissa Doumbia,1
Ignacio Monreal Eraso,1
Isaac Carcelén Valencia,1
Jaume Vicent Costa Jordá,1
Javier Sánchez de Felipe,1
Jeison Fabián Murillo Cerón,1
Jesé Rodríguez Ruiz,1
Jesús Vallejo Lázaro,1
Joaquín Sánchez Rodríguez,1
Johan Andrés Mojica Palacio,1
Jon Morcillo Conesa,1
Jonathan Calleri,1
José Luis Gayà Peña,1
José María Giménez de Vargas,1
José Ramiro Funes Mori,1
José Ángel Valdés Díaz,1
Juan Antonio Iglesias Sánchez,1
Juan Pedro Ramírez López,1
Jules Koundé,1
Júnior Wakalibille Lago,1
Kenan Kodro,1
Kieran Trippier,1
Ljubomir Fejsa,1
Lucas Hernández Pi,1
Luis Alfonso Espino García,1
Luis Fernando Muriel Fruto,1
Luis Jan Piers Advíncula Castrillón,1
Luuk de Jong,1
Manuel Alejandro García Sánchez,1
Marc Bartra Aregall,1
Marc Muniesa Martínez,1
Marc Pedraza Sarto,1
Marc-André ter Stegen,1
Marcelo Vieira da Silva Júnior,1
Marco Asensio Willemsen,1
Mariano Díaz Mejía,1
Mario Gaspar Pérez Martínez,1
Markel Susaeta Laskurain,1
Mathías Olivera Miramontes,1
Maximiliano Gómez González,1
Mickaël Malsa,1
Miguel Ángel Garrido Cifuentes,1
Mikel San José Domínguez,1
Nemanja Radoja,1
Oliver Burke,1
Pablo Fornals Malla,1
Pape Cheikh Diop Gueye,1
Paulo André Rodrigues de Oliveira,1
Pedro Alcalá Guirado,1
Quincy Anton Promes,1
Rafael Jiménez Jarque,1
Rafael Mir Vicente,1
Ramon Olamilekan Azeez,1
Raúl Albiol i Tortajada,1
Roberto Soldado Rillo,1
Roberto Suárez Pier,1
Roberto Torres Morales,1
Robin Aime Robert Le Normand,1
Rodrigo Hernández Cascante,1
Rodrigo Sánchez Rodriguez,1
Roger Claver Assalé Djapone,1
Rubén Duarte Sánchez,1
Rubén Peña Jiménez,1
Sabit Abdulai,1
Samuele Longo,1
Sandro Ramírez Castillo,1
Santiago Arias Naranjo,1
Santiago Comesaña Veiga,1
Sergio Canales Madrazo,1
Sergio García De La Fuente,1
Sergio Ramos García,1
Takashi Inui,1
Tiago Manuel Dias Correia,1
Tomás Pina Isla,1
Unai Núñez Gestoso,1
Unai Vencedor Paris,1
Uroš Račić,1
Víctor Machín Pérez,1
Víctor Ruíz Torre,1
William Silva de Carvalho,1
Yassine Bounou,1
Yeray Álvarez López,1
Yuri Berchiche Izeta,1
Álvaro Negredo Sánchez,1
Álvaro Odriozola Arzallus,1
Óscar Plano Pedreño,1
Abdallahi Mohamed Mahmoud,1
