team_name,pass_count
Barcelona,26317
Sevilla,1091
Villarreal,1061
Atlético Madrid,1015
Athletic Club,976
Real Madrid,932
Celta Vigo,900
Real Betis,873
Real Sociedad,830
Levante UD,826
Real Valladolid,816
Osasuna,800
Huesca,794
Valencia,690
Deportivo Alavés,559
Granada,532
Getafe,478
Elche,428
Cádiz,419
